Salary,Year,Player,Pos,Age,Team,Championship Wins,RunnerUp Count,TRB,AST,STL,BLK,TOV,PF,PER,FG%,3P%,FTA,FT%,PTS,Championship Appearance Y/N
1200000,1980,Bingo Smith,SF,33,San Diego Clippers,0.0,0.0,245.0,93,59.0,15.0,72.0,188,11.4,0.43,0.289,107,0.8690000000000001,819,0.0
900000,1980,Charlie Scott,SG,31,Denver Nuggets,0.0,0.0,166.0,250,47.0,23.0,163.0,197,7.4,0.401,0.182,118,0.72,639,0.0
6100000,1980,Rick Barry,SF,35,Houston Rockets,0.0,0.0,236.0,268,80.0,28.0,152.0,182,14.8,0.42200000000000004,0.33,153,0.935,866,0.0
700000,1980,Duck Williams,PG,23,Utah Jazz,0.0,0.0,106.0,183,100.0,11.0,107.0,166,8.6,0.447,0.0,60,0.7,506,0.0
2800000,1980,Terry Furlow,SG,25,Utah Jazz,0.0,0.0,152.0,221,54.0,14.0,129.0,79,16.0,0.47600000000000003,0.315,145,0.8759999999999999,878,0.0
900000,1980,Austin Carr,SG,31,Cleveland Cavaliers,0.0,0.0,165.0,150,39.0,3.0,108.0,120,14.3,0.465,0.33299999999999996,172,0.738,909,0.0
1400000,1980,Paul Silas,PF,36,Seattle Supersonics,0.0,0.0,436.0,66,25.0,5.0,83.0,120,8.2,0.37799999999999995,0.0,136,0.654,315,0.0
3100000,1980,Dave Twardzik,PG,29,Portland Trail Blazers,0.0,0.0,156.0,273,77.0,1.0,131.0,149,13.9,0.46399999999999997,0.5710000000000001,252,0.782,567,0.0
2500000,1980,Jim Cleamons,PG,30,Washington Bullets,0.0,0.0,133.0,248,44.0,9.0,92.0,120,10.7,0.483,0.174,98,0.735,444,0.0
600000,1980,Eric Money,SG,24,Detroit Pistons,0.0,1.0,97.0,238,53.0,10.0,143.0,135,11.7,0.508,0.0,104,0.779,599,1.0
1100000,1980,Jack Givens,SF,23,Atlanta Hawks,0.0,0.0,242.0,59,51.0,19.0,59.0,132,11.5,0.385,0.0,128,0.828,470,0.0
900000,1980,Lloyd Walton,PG,26,Milwaukee Bucks,0.0,0.0,91.0,285,43.0,2.0,112.0,68,9.6,0.455,0.33299999999999996,71,0.69,270,0.0
700000,1980,Hollis Copeland,SF,24,New York Knicks,0.0,0.0,156.0,80,61.0,25.0,84.0,154,11.0,0.495,0.0,86,0.733,427,0.0
900000,1980,Nick Weatherspoon,SF,29,San Diego Clippers,0.0,0.0,208.0,54,34.0,17.0,86.0,136,9.3,0.434,0.0,91,0.6920000000000001,391,0.0
900000,1980,Gary Garland,PG,22,Denver Nuggets,0.0,0.0,138.0,145,54.0,4.0,73.0,80,10.2,0.435,0.316,26,0.6920000000000001,334,0.0
800000,1980,Winford Boynes,SG,22,New Jersey Nets,0.0,0.0,133.0,95,59.0,19.0,96.0,132,13.1,0.473,0.0,136,0.765,546,0.0
1800000,1980,Willie Smith,PG,26,Cleveland Cavaliers,0.0,0.0,121.0,259,75.0,1.0,95.0,110,12.2,0.384,0.239,52,0.769,299,0.0
900000,1980,Mack Calvin,PG,32,Utah Jazz,0.0,0.0,84.0,134,27.0,0.0,57.0,72,14.5,0.441,0.091,117,0.897,306,0.0
1900000,1980,John Williamson,SG,28,Washington Bullets,0.0,0.0,45.0,39,10.0,10.0,49.0,66,10.2,0.43,0.188,50,0.8,349,0.0
800000,1980,Darnell Hillman,PF,30,Golden State Warriors,0.0,0.0,180.0,47,21.0,24.0,59.0,128,8.7,0.45799999999999996,0.0,68,0.5,198,0.0
900000,1980,Wiley Peck,SF,22,San Antonio Spurs,0.0,0.0,183.0,33,17.0,23.0,48.0,100,8.9,0.43200000000000005,0.0,55,0.618,180,0.0
800000,1980,Stan Pietkiewicz,PG,23,San Diego Clippers,0.0,0.0,45.0,94,25.0,4.0,51.0,52,14.3,0.508,0.25,46,0.804,228,0.0
600000,1980,Don Chaney,SG,33,Boston Celtics,0.0,0.0,73.0,38,31.0,11.0,33.0,80,7.8,0.354,0.16699999999999998,42,0.762,167,0.0
800000,1980,Bo Ellis,PF,25,Denver Nuggets,0.0,0.0,116.0,30,10.0,24.0,24.0,67,12.1,0.449,0.0,53,0.755,162,0.0
600000,1980,Sam Smith,SF,25,Chicago Bulls,0.0,0.0,54.0,42,25.0,7.0,33.0,54,14.2,0.42200000000000004,0.22899999999999998,63,0.905,259,0.0
